RegistrationId,Program,Year,TravelMinutes,Channel,Attended
1001,EscapeRoom,2,10,SNS,o
1002,Maker,3,15,Poster,o
1003,Game,1,40,Poster,x
1004,Concert,3,,Friend,o
1005,EscapeRoom,4,15,SNS,o
1006,Game,2,25,Poster,x
1007,Maker,4,50,SNS,x
1008,Concert,4,40,Poster,o
1009,EscapeRoom,4,40,,o
1010,Maker,3,90,Friend,o
1011,EscapeRoom,1,90,Friend,o
1012,Game,4,10,Poster,x
1013,Concert,3,,Poster,x
1014,Concert,2,90,Poster,o
1015,Concert,3,50,Poster,o
1016,EscapeRoom,1,15,SNS,x
1017,EscapeRoom,3,50,Poster,o
1018,EscapeRoom,1,90,Friend,o
1019,Concert,1,20,Poster,o
1020,Maker,1,,Poster,o
1021,Concert,1,90,Poster,x
1022,Maker,4,30,Poster,o
1023,EscapeRoom,2,50,SNS,o
1024,Concert,4,20,,o
1025,EscapeRoom,2,60,SNS,o
1026,Concert,3,50,Poster,o
1027,Maker,1,25,SNS,o
1028,Game,1,,Poster,o
1029,Concert,3,20,Friend,o
1030,EscapeRoom,1,30,Poster,o
1031,Concert,1,30,SNS,x
1032,Concert,2,15,SNS,o
1033,EscapeRoom,1,20,Poster,o
1034,Concert,4,20,Poster,o
1035,Maker,1,,Friend,o
1036,EscapeRoom,4,75,Friend,o
1037,Concert,2,10,Poster,o
1038,Maker,1,60,Friend,o
1039,Concert,2,20,Friend,o
1040,Game,3,20,,o
1041,EscapeRoom,2,20,Poster,o
1042,Concert,2,15,SNS,x
1043,Maker,3,15,SNS,x
1044,Concert,1,30,Friend,o
1045,EscapeRoom,3,40,Friend,o
1046,EscapeRoom,4,15,SNS,o
1047,Game,4,50,Poster,o
1048,EscapeRoom,3,25,SNS,o
1049,Concert,1,,SNS,o
1050,Concert,1,60,Friend,x
1051,Maker,1,20,Poster,o
1052,EscapeRoom,3,50,Friend,o
1053,Game,2,10,SNS,o
1054,EscapeRoom,4,15,Poster,o
1055,Maker,2,10,Poster,x
1056,Maker,1,40,,o
1057,Maker,4,50,SNS,o
1058,Game,4,,SNS,o
1059,Game,4,90,Friend,o
1060,Concert,2,50,SNS,o
1061,Concert,4,90,Friend,o
1062,EscapeRoom,3,60,Poster,o
1063,Game,2,60,Poster,o
1064,Game,2,,SNS,o
1065,Maker,4,10,Friend,o
1066,Concert,1,40,SNS,o
1067,Game,4,20,Poster,x
1068,Concert,1,10,Poster,x
1069,Concert,1,25,Poster,o
